date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:46	116/116	---MCZ	200	added ('OK')	text/plain	etag:W/%22f9b40364e13ad234d65d71dd00bfeed1%22	https://frvr.com/robots.txt		(from )
00:50:46	51824/51824	---MCZ	200	added ('OK')	text/html	etag:W/%22ea23b09461381e7c5eec3b4323f61c16%22	https://frvr.com/	C:/My%20Web%20Sites/gold/frvr.com/index.html	(from )
00:50:46	148620/148620	---M--	200	added ('OK')	image/jpeg	etag:%22400a35d3d9baa0e85ba6dd6bfd7be8eb%22	https://frvr.com/i/share-image.jpg	C:/My%20Web%20Sites/gold/frvr.com/i/share-image.jpg	(from https://frvr.com/)
00:50:46	12885/12885	---M--	200	added ('OK')	image/png	etag:%225c4bdf3499b0c73a80b8d5bad96cac21%22	https://frvr.com/images/content/apple-touch-icon.png	C:/My%20Web%20Sites/gold/frvr.com/images/content/apple-touch-icon.png	(from https://frvr.com/)
00:50:47	1325/1325	---M--	200	added ('OK')	image/png	etag:%22f629b3935985e01ad1a63e6f55f4cad9%22	https://frvr.com/images/content/favicon-32x32.png	C:/My%20Web%20Sites/gold/frvr.com/images/content/favicon-32x32.png	(from https://frvr.com/)
00:50:47	766/766	---M--	200	added ('OK')	image/png	etag:%22ad0fc8f3801777ef0cb3f116a4e5cebf%22	https://frvr.com/images/content/favicon-16x16.png	C:/My%20Web%20Sites/gold/frvr.com/images/content/favicon-16x16.png	(from https://frvr.com/)
00:50:47	426/426	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22b9aa277fcfc34c31db6c7a7ea3469b8c%22	https://frvr.com/images/content/site.webmanifest	C:/My%20Web%20Sites/gold/frvr.com/images/content/site.webmanifest	(from https://frvr.com/)
00:50:51	25778/25778	---M-Z	200	added ('OK')	application/javascript	etag:0x8DB160F628F44B9	https://cookie-cdn.cookiepro.com/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/gold/cookie-cdn.cookiepro.com/scripttemplates/otSDKStub.js	(from https://frvr.com/)
00:50:51	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22f7d8205afb4d53792e893baed428bd71%22	https://frvr.com/favicon.ico	C:/My%20Web%20Sites/gold/frvr.com/favicon.ico	(from https://frvr.com/)
00:50:54	186614/186614	---MCZ	200	added ('OK')	text/css	etag:W/%22a6460150bc8b5677a7eec51b14075e43%22	https://frvr.com/css/app.cccc71fbc122b4fe8770.css	C:/My%20Web%20Sites/gold/frvr.com/css/app.cccc71fbc122b4fe8770.css	(from https://frvr.com/)
00:50:54	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/gold/www.google-analytics.com/analytics.js	(from https://frvr.com/)
00:50:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:50:51%20GMT	https://frvr.com/browse	C:/My%20Web%20Sites/gold/frvr.com/browse.9.delayed	(from https://frvr.com/)
00:50:55	105351/105351	---MCZ	200	added ('OK')	text/html	etag:W/%22f0211b9ba1c95634fca496eec4199e95%22	https://frvr.com/browse/index.html	C:/My%20Web%20Sites/gold/frvr.com/browse/index.html	(from https://frvr.com/)
00:50:55	517/517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222cc2560f64b2cdcc4a49a66d77c031d1%22	https://frvr.com/images/content/lights-on.svg	C:/My%20Web%20Sites/gold/frvr.com/images/content/lights-on.svg	(from https://frvr.com/)
